"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","533","Create user","LMS service","Fri Oct 03 12:14:45 GMT 2025","passed","Fri Oct 03 12:14:45 GMT 2025","Create entity","Users","",""
"","548","Login with correct email and password","LMS service","Fri Oct 03 12:14:37 GMT 2025","passed","Fri Oct 03 12:14:37 GMT 2025","Login","Authentication","",""
"","22","Create exercise","LMS service","Fri Oct 03 12:14:40 GMT 2025","passed","Fri Oct 03 12:14:40 GMT 2025","Create entity","Exercises","",""
"","20","Delete exercise","LMS service","Fri Oct 03 12:14:41 GMT 2025","passed","Fri Oct 03 12:14:41 GMT 2025","Delete entity","Exercises","",""
"","23","Delete file","LMS service","Fri Oct 03 12:14:44 GMT 2025","passed","Fri Oct 03 12:14:44 GMT 2025","Delete entity","Files","",""
"","30","Update course","LMS service","Fri Oct 03 12:14:38 GMT 2025","passed","Fri Oct 03 12:14:39 GMT 2025","Update entity","Courses","",""
"","12","Get user me","LMS service","Fri Oct 03 12:14:46 GMT 2025","passed","Fri Oct 03 12:14:46 GMT 2025","Get entity","Users","",""
"","21","Update exercise","LMS service","Fri Oct 03 12:14:40 GMT 2025","passed","Fri Oct 03 12:14:40 GMT 2025","Update entity","Exercises","",""
"","524","Create user","LMS service","Fri Oct 03 12:14:45 GMT 2025","passed","Fri Oct 03 12:14:46 GMT 2025","Create entity","Users","",""
"","16","Get file","LMS service","Fri Oct 03 12:14:43 GMT 2025","passed","Fri Oct 03 12:14:43 GMT 2025","Get entity","Files","",""
"","266","Get file with incorrect id","LMS service","Fri Oct 03 12:14:45 GMT 2025","passed","Fri Oct 03 12:14:46 GMT 2025","Validate entity","Files","",""
"","554","Create user","LMS service","Fri Oct 03 12:14:46 GMT 2025","passed","Fri Oct 03 12:14:46 GMT 2025","Create entity","Users","",""
"","32","Create file","LMS service","Fri Oct 03 12:14:42 GMT 2025","passed","Fri Oct 03 12:14:42 GMT 2025","Create entity","Files","",""
"","28","Create course","LMS service","Fri Oct 03 12:14:38 GMT 2025","passed","Fri Oct 03 12:14:38 GMT 2025","Create entity","Courses","",""
"","46","Get exercise","LMS service","Fri Oct 03 12:14:41 GMT 2025","passed","Fri Oct 03 12:14:41 GMT 2025","Get entity","Exercises","",""
"","263","Create file with empty filename","LMS service","Fri Oct 03 12:14:43 GMT 2025","passed","Fri Oct 03 12:14:43 GMT 2025","Validate entity","Files","",""
"","30","Get courses","LMS service","Fri Oct 03 12:14:37 GMT 2025","passed","Fri Oct 03 12:14:37 GMT 2025","Get entities","Courses","",""
"","32","Create file with empty directory","LMS service","Fri Oct 03 12:14:44 GMT 2025","passed","Fri Oct 03 12:14:44 GMT 2025","Validate entity","Files","",""
"","22","Get exercises","LMS service","Fri Oct 03 12:14:42 GMT 2025","passed","Fri Oct 03 12:14:42 GMT 2025","Get entities","Exercises","",""
