"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Get exercises","LMS service","Fri Oct 03 12:31:54 GMT 2025","passed","Fri Oct 03 12:31:54 GMT 2025","Get entities","Exercises","",""
"","22","Update exercise","LMS service","Fri Oct 03 12:31:51 GMT 2025","passed","Fri Oct 03 12:31:51 GMT 2025","Update entity","Exercises","",""
"","266","Get file with incorrect id","LMS service","Fri Oct 03 12:31:57 GMT 2025","passed","Fri Oct 03 12:31:57 GMT 2025","Validate entity","Files","",""
"","553","Login with correct email and password","LMS service","Fri Oct 03 12:31:48 GMT 2025","passed","Fri Oct 03 12:31:49 GMT 2025","Login","Authentication","",""
"","25","Create exercise","LMS service","Fri Oct 03 12:31:51 GMT 2025","passed","Fri Oct 03 12:31:51 GMT 2025","Create entity","Exercises","",""
"","20","Delete exercise","LMS service","Fri Oct 03 12:31:52 GMT 2025","passed","Fri Oct 03 12:31:52 GMT 2025","Delete entity","Exercises","",""
"","503","Create user","LMS service","Fri Oct 03 12:31:56 GMT 2025","passed","Fri Oct 03 12:31:57 GMT 2025","Create entity","Users","",""
"","14","Get file","LMS service","Fri Oct 03 12:31:55 GMT 2025","passed","Fri Oct 03 12:31:55 GMT 2025","Get entity","Files","",""
"","30","Get courses","LMS service","Fri Oct 03 12:31:49 GMT 2025","passed","Fri Oct 03 12:31:49 GMT 2025","Get entities","Courses","",""
"","26","Create course","LMS service","Fri Oct 03 12:31:50 GMT 2025","passed","Fri Oct 03 12:31:50 GMT 2025","Create entity","Courses","",""
"","34","Create file","LMS service","Fri Oct 03 12:31:54 GMT 2025","passed","Fri Oct 03 12:31:54 GMT 2025","Create entity","Files","",""
"","27","Delete file","LMS service","Fri Oct 03 12:31:56 GMT 2025","passed","Fri Oct 03 12:31:56 GMT 2025","Delete entity","Files","",""
"","554","Create user","LMS service","Fri Oct 03 12:31:57 GMT 2025","passed","Fri Oct 03 12:31:58 GMT 2025","Create entity","Users","",""
"","270","Create file with empty directory","LMS service","Fri Oct 03 12:31:56 GMT 2025","passed","Fri Oct 03 12:31:56 GMT 2025","Validate entity","Files","",""
"","49","Get exercise","LMS service","Fri Oct 03 12:31:52 GMT 2025","passed","Fri Oct 03 12:31:52 GMT 2025","Get entity","Exercises","",""
"","32","Update course","LMS service","Fri Oct 03 12:31:50 GMT 2025","passed","Fri Oct 03 12:31:50 GMT 2025","Update entity","Courses","",""
"","12","Get user me","LMS service","Fri Oct 03 12:31:58 GMT 2025","passed","Fri Oct 03 12:31:58 GMT 2025","Get entity","Users","",""
"","518","Create user","LMS service","Fri Oct 03 12:31:57 GMT 2025","passed","Fri Oct 03 12:31:57 GMT 2025","Create entity","Users","",""
"","268","Create file with empty filename","LMS service","Fri Oct 03 12:31:55 GMT 2025","passed","Fri Oct 03 12:31:55 GMT 2025","Validate entity","Files","",""
