"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","563","Create user","LMS service","Fri Oct 03 12:19:05 GMT 2025","passed","Fri Oct 03 12:19:06 GMT 2025","Create entity","Users","",""
"","290","Create user","LMS service","Fri Oct 03 12:19:05 GMT 2025","passed","Fri Oct 03 12:19:06 GMT 2025","Create entity","Users","",""
"","544","Create user","LMS service","Fri Oct 03 12:19:05 GMT 2025","passed","Fri Oct 03 12:19:05 GMT 2025","Create entity","Users","",""
"","27","Create course","LMS service","Fri Oct 03 12:18:58 GMT 2025","passed","Fri Oct 03 12:18:58 GMT 2025","Create entity","Courses","",""
"","27","Create file with empty filename","LMS service","Fri Oct 03 12:19:03 GMT 2025","passed","Fri Oct 03 12:19:03 GMT 2025","Validate entity","Files","",""
"","552","Login with correct email and password","LMS service","Fri Oct 03 12:18:57 GMT 2025","passed","Fri Oct 03 12:18:57 GMT 2025","Login","Authentication","",""
"","12","Get user me","LMS service","Fri Oct 03 12:19:06 GMT 2025","passed","Fri Oct 03 12:19:06 GMT 2025","Get entity","Users","",""
"","31","Update course","LMS service","Fri Oct 03 12:18:58 GMT 2025","passed","Fri Oct 03 12:18:58 GMT 2025","Update entity","Courses","",""
"","273","Create file with empty directory","LMS service","Fri Oct 03 12:19:04 GMT 2025","passed","Fri Oct 03 12:19:04 GMT 2025","Validate entity","Files","",""
"","295","Delete file","LMS service","Fri Oct 03 12:19:04 GMT 2025","passed","Fri Oct 03 12:19:05 GMT 2025","Delete entity","Files","",""
"","29","Create exercise","LMS service","Fri Oct 03 12:19:00 GMT 2025","passed","Fri Oct 03 12:19:00 GMT 2025","Create entity","Exercises","",""
"","23","Update exercise","LMS service","Fri Oct 03 12:19:00 GMT 2025","passed","Fri Oct 03 12:19:00 GMT 2025","Update entity","Exercises","",""
"","21","Get exercises","LMS service","Fri Oct 03 12:19:02 GMT 2025","passed","Fri Oct 03 12:19:02 GMT 2025","Get entities","Exercises","",""
"","15","Get file","LMS service","Fri Oct 03 12:19:03 GMT 2025","passed","Fri Oct 03 12:19:03 GMT 2025","Get entity","Files","",""
"","30","Create file","LMS service","Fri Oct 03 12:19:02 GMT 2025","passed","Fri Oct 03 12:19:02 GMT 2025","Create entity","Files","",""
"","263","Get file with incorrect id","LMS service","Fri Oct 03 12:19:05 GMT 2025","passed","Fri Oct 03 12:19:05 GMT 2025","Validate entity","Files","",""
"","56","Get exercise","LMS service","Fri Oct 03 12:19:01 GMT 2025","passed","Fri Oct 03 12:19:01 GMT 2025","Get entity","Exercises","",""
"","18","Delete exercise","LMS service","Fri Oct 03 12:19:01 GMT 2025","passed","Fri Oct 03 12:19:01 GMT 2025","Delete entity","Exercises","",""
"","28","Get courses","LMS service","Fri Oct 03 12:18:57 GMT 2025","passed","Fri Oct 03 12:18:57 GMT 2025","Get entities","Courses","",""
