"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Update course","LMS service","Mon Oct 06 11:31:54 GMT 2025","passed","Mon Oct 06 11:31:54 GMT 2025","Update entity","Courses","",""
"","30","Get courses","LMS service","Mon Oct 06 11:31:53 GMT 2025","passed","Mon Oct 06 11:31:53 GMT 2025","Get entities","Courses","",""
"","271","Get file with incorrect id","LMS service","Mon Oct 06 11:32:01 GMT 2025","passed","Mon Oct 06 11:32:01 GMT 2025","Validate entity","Files","",""
"","28","Delete file","LMS service","Mon Oct 06 11:32:00 GMT 2025","passed","Mon Oct 06 11:32:00 GMT 2025","Delete entity","Files","",""
"","264","Create file with empty filename","LMS service","Mon Oct 06 11:31:58 GMT 2025","passed","Mon Oct 06 11:31:59 GMT 2025","Validate entity","Files","",""
"","268","Create file with empty directory","LMS service","Mon Oct 06 11:31:59 GMT 2025","passed","Mon Oct 06 11:32:00 GMT 2025","Validate entity","Files","",""
"","507","Create user","LMS service","Mon Oct 06 11:32:00 GMT 2025","passed","Mon Oct 06 11:32:00 GMT 2025","Create entity","Users","",""
"","33","Create file","LMS service","Mon Oct 06 11:31:57 GMT 2025","passed","Mon Oct 06 11:31:57 GMT 2025","Create entity","Files","",""
"","553","Login with correct email and password","LMS service","Mon Oct 06 11:31:52 GMT 2025","passed","Mon Oct 06 11:31:53 GMT 2025","Login","Authentication","",""
"","15","Get file","LMS service","Mon Oct 06 11:31:59 GMT 2025","passed","Mon Oct 06 11:31:59 GMT 2025","Get entity","Files","",""
"","19","Update exercise","LMS service","Mon Oct 06 11:31:55 GMT 2025","passed","Mon Oct 06 11:31:55 GMT 2025","Update entity","Exercises","",""
"","24","Get exercises","LMS service","Mon Oct 06 11:31:57 GMT 2025","passed","Mon Oct 06 11:31:57 GMT 2025","Get entities","Exercises","",""
"","53","Get exercise","LMS service","Mon Oct 06 11:31:56 GMT 2025","passed","Mon Oct 06 11:31:56 GMT 2025","Get entity","Exercises","",""
"","528","Create user","LMS service","Mon Oct 06 11:32:00 GMT 2025","passed","Mon Oct 06 11:32:01 GMT 2025","Create entity","Users","",""
"","30","Create course","LMS service","Mon Oct 06 11:31:54 GMT 2025","passed","Mon Oct 06 11:31:54 GMT 2025","Create entity","Courses","",""
"","21","Delete exercise","LMS service","Mon Oct 06 11:31:56 GMT 2025","passed","Mon Oct 06 11:31:56 GMT 2025","Delete entity","Exercises","",""
"","26","Create exercise","LMS service","Mon Oct 06 11:31:55 GMT 2025","passed","Mon Oct 06 11:31:55 GMT 2025","Create entity","Exercises","",""
"","554","Create user","LMS service","Mon Oct 06 11:32:01 GMT 2025","passed","Mon Oct 06 11:32:01 GMT 2025","Create entity","Users","",""
"","13","Get user me","LMS service","Mon Oct 06 11:32:02 GMT 2025","passed","Mon Oct 06 11:32:02 GMT 2025","Get entity","Users","",""
