"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Get exercises","LMS service","Mon Oct 06 11:04:18 GMT 2025","passed","Mon Oct 06 11:04:18 GMT 2025","Get entities","Exercises","",""
"","520","Create user","LMS service","Mon Oct 06 11:04:21 GMT 2025","passed","Mon Oct 06 11:04:21 GMT 2025","Create entity","Users","",""
"","35","Create file","LMS service","Mon Oct 06 11:04:18 GMT 2025","passed","Mon Oct 06 11:04:18 GMT 2025","Create entity","Files","",""
"","13","Get user me","LMS service","Mon Oct 06 11:04:22 GMT 2025","passed","Mon Oct 06 11:04:22 GMT 2025","Get entity","Users","",""
"","33","Update course","LMS service","Mon Oct 06 11:04:14 GMT 2025","passed","Mon Oct 06 11:04:14 GMT 2025","Update entity","Courses","",""
"","31","Create course","LMS service","Mon Oct 06 11:04:14 GMT 2025","passed","Mon Oct 06 11:04:14 GMT 2025","Create entity","Courses","",""
"","557","Create user","LMS service","Mon Oct 06 11:04:21 GMT 2025","passed","Mon Oct 06 11:04:22 GMT 2025","Create entity","Users","",""
"","263","Get file with incorrect id","LMS service","Mon Oct 06 11:04:21 GMT 2025","passed","Mon Oct 06 11:04:21 GMT 2025","Validate entity","Files","",""
"","30","Get courses","LMS service","Mon Oct 06 11:04:13 GMT 2025","passed","Mon Oct 06 11:04:13 GMT 2025","Get entities","Courses","",""
"","47","Get exercise","LMS service","Mon Oct 06 11:04:16 GMT 2025","passed","Mon Oct 06 11:04:16 GMT 2025","Get entity","Exercises","",""
"","556","Login with correct email and password","LMS service","Mon Oct 06 11:04:12 GMT 2025","passed","Mon Oct 06 11:04:13 GMT 2025","Login","Authentication","",""
"","27","Create exercise","LMS service","Mon Oct 06 11:04:15 GMT 2025","passed","Mon Oct 06 11:04:15 GMT 2025","Create entity","Exercises","",""
"","23","Update exercise","LMS service","Mon Oct 06 11:04:15 GMT 2025","passed","Mon Oct 06 11:04:15 GMT 2025","Update entity","Exercises","",""
"","265","Create file with empty filename","LMS service","Mon Oct 06 11:04:19 GMT 2025","passed","Mon Oct 06 11:04:19 GMT 2025","Validate entity","Files","",""
"","21","Delete exercise","LMS service","Mon Oct 06 11:04:17 GMT 2025","passed","Mon Oct 06 11:04:17 GMT 2025","Delete entity","Exercises","",""
"","17","Get file","LMS service","Mon Oct 06 11:04:19 GMT 2025","passed","Mon Oct 06 11:04:19 GMT 2025","Get entity","Files","",""
"","267","Create file with empty directory","LMS service","Mon Oct 06 11:04:20 GMT 2025","passed","Mon Oct 06 11:04:20 GMT 2025","Validate entity","Files","",""
"","509","Create user","LMS service","Mon Oct 06 11:04:20 GMT 2025","passed","Mon Oct 06 11:04:21 GMT 2025","Create entity","Users","",""
"","26","Delete file","LMS service","Mon Oct 06 11:04:20 GMT 2025","passed","Mon Oct 06 11:04:20 GMT 2025","Delete entity","Files","",""
