"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Delete file","LMS service","Mon Oct 06 11:38:44 GMT 2025","passed","Mon Oct 06 11:38:44 GMT 2025","Delete entity","Files","",""
"","19","Get exercises","LMS service","Mon Oct 06 11:38:41 GMT 2025","passed","Mon Oct 06 11:38:41 GMT 2025","Get entities","Exercises","",""
"","490","Create user","LMS service","Mon Oct 06 11:38:44 GMT 2025","passed","Mon Oct 06 11:38:44 GMT 2025","Create entity","Users","",""
"","15","Get exercise","LMS service","Mon Oct 06 11:38:40 GMT 2025","passed","Mon Oct 06 11:38:40 GMT 2025","Get entity","Exercises","",""
"","16","Get file","LMS service","Mon Oct 06 11:38:42 GMT 2025","passed","Mon Oct 06 11:38:42 GMT 2025","Get entity","Files","",""
"","256","Create file with empty filename","LMS service","Mon Oct 06 11:38:42 GMT 2025","passed","Mon Oct 06 11:38:42 GMT 2025","Validate entity","Files","",""
"","31","Update course","LMS service","Mon Oct 06 11:38:38 GMT 2025","passed","Mon Oct 06 11:38:38 GMT 2025","Update entity","Courses","",""
"","284","Get courses","LMS service","Mon Oct 06 11:38:37 GMT 2025","passed","Mon Oct 06 11:38:37 GMT 2025","Get entities","Courses","",""
"","247","Create file","LMS service","Mon Oct 06 11:38:41 GMT 2025","passed","Mon Oct 06 11:38:41 GMT 2025","Create entity","Files","",""
"","285","Create course","LMS service","Mon Oct 06 11:38:37 GMT 2025","passed","Mon Oct 06 11:38:37 GMT 2025","Create entity","Courses","",""
"","279","Delete exercise","LMS service","Mon Oct 06 11:38:40 GMT 2025","passed","Mon Oct 06 11:38:40 GMT 2025","Delete entity","Exercises","",""
"","19","Create exercise","LMS service","Mon Oct 06 11:38:38 GMT 2025","passed","Mon Oct 06 11:38:38 GMT 2025","Create entity","Exercises","",""
"","260","Create file with empty directory","LMS service","Mon Oct 06 11:38:43 GMT 2025","passed","Mon Oct 06 11:38:43 GMT 2025","Validate entity","Files","",""
"","535","Create user","LMS service","Mon Oct 06 11:38:44 GMT 2025","passed","Mon Oct 06 11:38:45 GMT 2025","Create entity","Users","",""
"","522","Login with correct email and password","LMS service","Mon Oct 06 11:38:36 GMT 2025","passed","Mon Oct 06 11:38:36 GMT 2025","Login","Authentication","",""
"","12","Get user me","LMS service","Mon Oct 06 11:38:45 GMT 2025","passed","Mon Oct 06 11:38:45 GMT 2025","Get entity","Users","",""
"","542","Create user","LMS service","Mon Oct 06 11:38:44 GMT 2025","passed","Mon Oct 06 11:38:45 GMT 2025","Create entity","Users","",""
"","252","Get file with incorrect id","LMS service","Mon Oct 06 11:38:44 GMT 2025","passed","Mon Oct 06 11:38:44 GMT 2025","Validate entity","Files","",""
"","275","Update exercise","LMS service","Mon Oct 06 11:38:39 GMT 2025","passed","Mon Oct 06 11:38:39 GMT 2025","Update entity","Exercises","",""
